Año,Anomalia_C,Media_Movil_5a
1850,-0.4265,
1851,-0.2635,
1852,-0.2241,
1853,-0.2623,
1854,-0.2936,-0.2940
1855,-0.2914,-0.2670
1856,-0.3281,-0.2799
1857,-0.4659,-0.3283
1858,-0.3968,-0.3552
1859,-0.2920,-0.3548
1860,-0.4071,-0.3780
1861,-0.4637,-0.4051
1862,-0.5548,-0.4229
1863,-0.3828,-0.4201
1864,-0.4941,-0.4605
1865,-0.3922,-0.4575
1866,-0.4002,-0.4448
1867,-0.3994,-0.4137
1868,-0.3631,-0.4098
1869,-0.3185,-0.3747
1870,-0.3278,-0.3618
1871,-0.3734,-0.3564
1872,-0.3095,-0.3385
1873,-0.3212,-0.3301
1874,-0.3654,-0.3395
1875,-0.3667,-0.3472
1876,-0.4108,-0.3547
1877,-0.0824,-0.3093
1878,0.0103,-0.2430
1879,-0.2887,-0.2277
1880,-0.1767,-0.1897
1880,-0.3032,-0.1681
1881,-0.0908,-0.1698
1881,-0.2130,-0.2145
1882,-0.1108,-0.1789
1882,-0.2721,-0.1980
1883,-0.1733,-0.1720
1883,-0.3276,-0.2194
1884,-0.2842,-0.2336
1884,-0.4744,-0.3063
1885,-0.3358,-0.3191
1885,-0.4581,-0.3760
1886,-0.3183,-0.3742
1886,-0.4082,-0.3990
1887,-0.3658,-0.3772
1887,-0.4883,-0.4077
1888,-0.1800,-0.3521
1888,-0.3726,-0.3630
1889,-0.1092,-0.3032
1889,-0.2504,-0.2801
1890,-0.3550,-0.2534
1890,-0.5003,-0.3175
1891,-0.2225,-0.2875
1891,-0.3975,-0.3451
1892,-0.2742,-0.3499
1892,-0.5066,-0.3802
1893,-0.3142,-0.3430
1893,-0.4949,-0.3975
1894,-0.3067,-0.3793
1894,-0.4787,-0.4202
1895,-0.2308,-0.3651
1895,-0.4418,-0.3906
1896,-0.1175,-0.3151
1896,-0.2786,-0.3095
1897,-0.1133,-0.2364
1897,-0.2547,-0.2412
1898,-0.2767,-0.2082
1898,-0.4740,-0.2795
1899,-0.1750,-0.2587
1899,-0.3443,-0.3049
1900,-0.0850,-0.2710
1900,-0.2302,-0.2617
1901,-0.1558,-0.1981
1901,-0.2872,-0.2205
1902,-0.2825,-0.2081
1902,-0.4374,-0.2786
1903,-0.3700,-0.3066
1903,-0.5352,-0.3825
1904,-0.4750,-0.4200
1904,-0.5971,-0.4829
1905,-0.2617,-0.4478
1905,-0.4059,-0.4550
1906,-0.2242,-0.3928
1906,-0.3154,-0.3609
1907,-0.3892,-0.3193
1907,-0.4995,-0.3668
1908,-0.4292,-0.3715
1908,-0.5066,-0.4280
1909,-0.4883,-0.4626
1909,-0.5329,-0.4913
1910,-0.4417,-0.4797
1910,-0.5221,-0.4983
1911,-0.4483,-0.4867
1911,-0.5398,-0.4970
1912,-0.3700,-0.4644
1912,-0.4761,-0.4713
1913,-0.3475,-0.4363
1913,-0.4635,-0.4394
1914,-0.1508,-0.3616
1914,-0.2595,-0.3395
1915,-0.1400,-0.2723
1915,-0.1906,-0.2409
1916,-0.3608,-0.2203
1916,-0.4202,-0.2742
1917,-0.4617,-0.3147
1917,-0.5439,-0.3954
1918,-0.3000,-0.4173
1918,-0.4260,-0.4304
1919,-0.2775,-0.4018
1919,-0.3324,-0.3760
1920,-0.2758,-0.3223
1920,-0.3044,-0.3232
1921,-0.1908,-0.2762
1921,-0.2414,-0.2690
1922,-0.2825,-0.2590
1922,-0.3381,-0.2714
1923,-0.2642,-0.2634
1923,-0.3146,-0.2882
1924,-0.2683,-0.2935
1924,-0.3085,-0.2987
1925,-0.2217,-0.2755
1925,-0.2796,-0.2785
1926,-0.1092,-0.2375
1926,-0.1221,-0.2082
1927,-0.2192,-0.1904
1927,-0.2258,-0.1912
1928,-0.1992,-0.1751
1928,-0.2084,-0.1949
1929,-0.3600,-0.2425
1929,-0.3903,-0.2767
1930,-0.1583,-0.2632
1930,-0.1699,-0.2574
1931,-0.0925,-0.2342
1931,-0.1058,-0.1834
1932,-0.1617,-0.1376
1932,-0.1500,-0.1360
1933,-0.2875,-0.1595
1933,-0.3283,-0.2067
1934,-0.1275,-0.2110
1934,-0.1770,-0.2141
1935,-0.2008,-0.2242
1935,-0.2129,-0.2093
1936,-0.1508,-0.1738
1936,-0.1710,-0.1825
1937,-0.0333,-0.1538
1937,-0.0160,-0.1168
1938,-0.0042,-0.0751
1938,-0.0129,-0.0475
1939,-0.0208,-0.0174
1939,-0.0418,-0.0191
1940,0.1208,0.0082
1940,0.0738,0.0238
1941,0.1808,0.0626
1941,0.0344,0.0736
1942,0.0625,0.0945
1942,-0.0005,0.0702
1943,0.0850,0.0724
1943,0.0064,0.0376
1944,0.2025,0.0712
1944,0.1446,0.0876
1945,0.0925,0.1062
1945,0.0429,0.0978
